Property_ID,Price_in_Thousands,Square_Feet,Bedrooms,Age_Years
1,446.5,2060,5,13
2,468.5,2494,2,16
3,438.1,2330,4,35
4,302.2,2295,2,49
5,505.8,2838,4,39
6,639.7,3369,4,3
7,331.0,1666,2,1
8,471.0,2438,2,5
9,323.3,1530,4,41
10,544.6,2682,3,3
11,598.3,3335,5,28
12,257.8,1330,2,17
13,566.0,2885,5,25
14,358.7,1969,3,43
15,454.3,2715,3,33
16,464.6,2415,3,9
17,325.6,2155,2,35
18,426.7,2384,3,13
19,309.2,1659,2,30
20,248.1,1221,3,47
21,437.2,1947,5,14
22,437.2,1674,5,7
23,475.3,2282,4,13
24,601.9,3247,5,22
25,407.3,2175,4,39
26,624.4,3006,5,20
27,277.5,1389,2,15
28,390.4,1762,5,44
29,515.4,3099,4,17
30,448.6,2467,4,46
